Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Production Quantity,Flag,Flag Description
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01491.01","Oil palm fruit","1981","1981","tonnes","3800000","E","Estimated value"
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01491.01","Oil palm fruit","1982","1982","tonnes","4300000","E","Estimated value"
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01491.01","Oil palm fruit","1983","1983","tonnes","4600000","E","Estimated value"
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01491.01","Oil palm fruit","1984","1984","tonnes","6280000","E","Estimated value"
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01491.01","Oil palm fruit","1985","1985","tonnes","6550000","E","Estimated value"
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01491.01","Oil palm fruit","1986","1986","tonnes","7725000","E","Estimated value"
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01491.01","Oil palm fruit","1987","1987","tonnes","8859147","A","Official figure"
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01491.01","Oil palm fruit","1988","1988","tonnes","10785847","A","Official figure"
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01491.01","Oil palm fruit","1989","1989","tonnes","10232890","A","Official figure"
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01491.01","Oil palm fruit","1990","1990","tonnes","11151795","A","Official figure"
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01491.01","Oil palm fruit","1991","1991","tonnes","12153216","A","Official figure"
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01491.01","Oil palm fruit","1992","1992","tonnes","13244564","A","Official figure"
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01491.01","Oil palm fruit","1993","1993","tonnes","17110000","E","Estimated value"
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01491.01","Oil palm fruit","1994","1994","tonnes","20040000","E","Estimated value"
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01491.01","Oil palm fruit","1995","1995","tonnes","22400000","E","Estimated value"
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01491.01","Oil palm fruit","1996","1996","tonnes","24490000","E","Estimated value"
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01491.01","Oil palm fruit","1997","1997","tonnes","26930000","E","Estimated value"
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01491.01","Oil palm fruit","1998","1998","tonnes","29510000","E","Estimated value"
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01491.01","Oil palm fruit","1999","1999","tonnes","32775000","E","Estimated value"
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01491.01","Oil palm fruit","2000","2000","tonnes","36380000","E","Estimated value"
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01491.01","Oil palm fruit","2001","2001","tonnes","40950000","E","Estimated value"
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01491.01","Oil palm fruit","2002","2002","tonnes","46800000","E","Estimated value"
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01491.01","Oil palm fruit","2003","2003","tonnes","52600000","E","Estimated value"
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01491.01","Oil palm fruit","2004","2004","tonnes","60425500","E","Estimated value"
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01491.01","Oil palm fruit","2005","2005","tonnes","74000000","E","Estimated value"
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01491.01","Oil palm fruit","2006","2006","tonnes","80250000","E","Estimated value"
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01491.01","Oil palm fruit","2007","2007","tonnes","78000000","E","Estimated value"
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01491.01","Oil palm fruit","2008","2008","tonnes","85000000","E","Estimated value"
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01491.01","Oil palm fruit","2009","2009","tonnes","90000000","E","Estimated value"
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01491.01","Oil palm fruit","2010","2010","tonnes","145033569","I","Imputed value"
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01491.01","Oil palm fruit","2011","2011","tonnes","157327832","I","Imputed value"
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01491.01","Oil palm fruit","2012","2012","tonnes","165466793","I","Imputed value"
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01491.01","Oil palm fruit","2013","2013","tonnes","180068301","I","Imputed value"
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01491.01","Oil palm fruit","2014","2014","tonnes","179246092","I","Imputed value"
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01491.01","Oil palm fruit","2015","2015","tonnes","183364519","I","Imputed value"
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01491.01","Oil palm fruit","2016","2016","tonnes","193047055","I","Imputed value"
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01491.01","Oil palm fruit","2017","2017","tonnes","242828929","E","Estimated value"
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01491.01","Oil palm fruit","2018","2018","tonnes","246207981","E","Estimated value"
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01491.01","Oil palm fruit","2019","2019","tonnes","250256133","E","Estimated value"
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01491.01","Oil palm fruit","2020","2020","tonnes","256528600","E","Estimated value"
